name,url,rating,number_of_ratings,price,asin,Manufacturer,Product Details,Details
"Amazon Basics Slope Basics Black Anti-theft 15.6 inches Laptop Bag, Office/College Backpack",https://www.amazon.in/Amazon-Basics-Anti-theft-College-Backpack/dp/B0C8NWKRRH/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-47,4.5 out of 5 stars,213,869,B0C8NWKRRH,"Outshiny India Pvt. Ltd., Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..","This Anti-Theft Backpack apply anti-theft design technology. Zipper of main pocket is fully hidden in the back of this bag ,no theft will easily open your backpack.
15.5 Inch Laptop Compartment
1 Spacious Padded compartment
Fabric : 500D Plain polyetser,600D Fabric ,200D PU coated Polyester lining
Dimension : 47 X 30 X 17 (CM), Capacity : 23 L
› See more product details","Product information
Technical Details
Brand Amazon Basics
Manufacturer Outshiny India Pvt. Ltd., Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..
Series Slope Basics Black Laptop Backpack
Colour Black
Item Height 47 Centimeters
Item Width 17 Centimeters
Product Dimensions 29 x 17 x 47 cm; 710 Grams
Item model number FAIBPKBLKWT528023
Manufacturer Outshiny India Pvt. Ltd.
Country of Origin India
Item Weight 710 g
Additional Information
ASIN B0C8NWKRRH
Customer Reviews 4.5
213 ratings
4.5 out of 5 stars
Best Sellers Rank #2,597 in Computers & Accessories (See Top 100 in Computers & Accessories)
#175 in Laptop Backpacks
Date First Available 14 July 2023
Packer Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..
Item Dimensions LxWxH 29 x 17 x 47 Centimeters
Generic Name Laptop Backpack
Feedback
Would you like to tell us about a lower price?"
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-48,4.1 out of 5 stars,2625,799,B08BP5CYDV,Lunar's,"MADE IN INDIA - This “MAKE IN INDIA” backpack for men has features of 3 large zippered compartments, 1 vertical long zip pocket at front, 1 water bottle /umbrella pocket. This backpack for men is suitable for casual usage, school/college/travel etc. In deed a perfect all-rounder backpack, school bags for boys and girls, college bags for men and college bag for girls, office bag for men and women. Great value !!
LOTS OF STORAGE SPACE – The school bags for boys front compartment has space for keeping tiffin box. Front pocket gives easy access to wallet / key chains/ stationary. Second and Third compartment are very spacious for keeping long books, files, binders and spacious enough to hold your Travel / Trip cloths. The base of college bag for women is made with 100% super strong 900D polyester fabric to protect your bag during daily use.
COMFY & STURDY – This backpack for men has comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Office bag for men is breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch.
SIZE & FEATURES - Compartment Description: Not Laptop Compatible; Pattern Name: Solid; Size: 19 inch X 13 inch X 8.75 inch. Capacity : 35 litres.
WATER RESISTANT WITH 1 YEAR WARRANTY – This college bags for men is stylish and durable backpack for school /college, daily casual use and travel. College bag for girls are made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.","Product Dimensions : 22.23 x 33.02 x 48.26 cm; 480 Grams
Date First Available : 23 June 2020
Manufacturer : Lunar's
ASIN : B08BP5CYDV
Item model number : V-Line
Country of Origin : India
Department : unisex-adult
Manufacturer : Lunar's
Item Weight : 480 g
Item Dimensions LxWxH : 22.2 x 33 x 48.3 Centimeters"
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-49,4.1 out of 5 stars,1359,1399,B08PSX1LN9,AB Amazing Bags,"ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartments having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser (small pockets inside a office bag for men / office bag for women).
COMFORTABLE TRAVEL : This backpack for men has Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. The laptop bag for men comes with Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. CAPACITY : 45L; Weight: 0.7kg ; Dimensions: 56x36x25cm ; Utility: Ideal for Travel, Hiking, Trekking & Camping.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps), 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.
QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this laptop bag for men is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure point for extra strength.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap, Breathable Mesh etc.","Product Dimensions : 56 x 36 x 25 cm; 820 Grams
Date First Available : 5 December 2020
Manufacturer : AB Amazing Bags
ASIN : B08PSX1LN9
Item model number : Laptop Bag
Country of Origin : India
Department : unisex-adult
Manufacturer : AB Amazing Bags
Item Weight : 820 g
Item Dimensions LxWxH : 56 x 36 x 25 Centimeters
Generic Name : Rucksack"
"MOKOBARA The Work Backpack - II Black Nylon Water Resistant (16"") Laptop | Work | Travel Bag for Men and Women",https://www.amazon.in/MOKOBARA-Work-Backpack-Resistant-Reflection/dp/B0C9J8JJ6C/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-50,4.0 out of 5 stars,1,8999,B0C9J8JJ6C,Designed By Mokobara Lifestyle Private Limited,"Care Instructions: Hand Wash Only
CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Nylon, Vegan leather trims, Casing: Soft, Water resistant: Yes
FRONT BUCKET COMPARTMENT: Houses slip pockets, pen pockets and a zippered pocket.
PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 43 x 32 x 17.5 cm, Capacity: 25L, Fits up to a 16” laptop, DEDICATED TECH COMPARTMENT: Padded laptop compartment with scratch-proof microsuede lining, iPad compartment
MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve, Hidden magnetic back pocket, 4x quick access front pockets
MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Care Instruction: Wipe with damp cloth","Product Dimensions : 17.5 x 32 x 43 cm; 1.8 Kilograms
Date First Available : 10 July 2023
Manufacturer : Designed By Mokobara Lifestyle Private Limited
ASIN : B0C9J8JJ6C
Item model number : TSBWB212CCR22001
Country of Origin : China
Department : unisex-adult
Manufacturer : Designed By Mokobara Lifestyle Private Limited
Packer : Mokobara Lifestyle Private Limited, Bangalore.
Importer : Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)
Item Weight : 1 kg 800 g
Item Dimensions LxWxH : 17.5 x 32 x 43 Centimeters
Net Quantity : 1.00 count"
"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-51,3.9 out of 5 stars,782,939,B01LXNNFDF,No,"Laptop Compatibility: Yes, Laptop size: 15.6 inches
Outer Material: Polyester, Color: Black
Water Resistance: Water resistant
Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)
Warranty type: Manufacturer; 12 months warranty against manufacturing defects","Is Discontinued By Manufacturer : No
Product Dimensions : 83.82 x 44.45 x 119.38 cm; 500 Grams
Date First Available : 3 March 2017
Manufacturer : Backpack International Pvt Ltd
ASIN : B01LXNNFDF
Item model number : Havana
Country of Origin : India
Department : unisex-adult
Manufacturer : Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901
Packer : Backpack International Pvt Ltd, Contact no +919769487901
Importer : Backpack International Pvt Ltd, Contact no +919769487901
Item Weight : 500 g
Item Dimensions LxWxH : 83.8 x 44.4 x 119.4 Centimeters
Net Quantity : 1.00 count
Generic Name : Laptop Backpack"
"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-52,4.4 out of 5 stars,50,699,B0BX9SVT1D,STRABO BAGS AND ACCESSORIES LLP,"Care Instructions: Hand Wash Only
One Main compartment and Laptop Compartment with front pocket & 2 side bottle sleeves
Dimensions 45 x 32 x 17 cm
Capacity 20L
Premium YKK zippers","Product Dimensions : 14 x 32 x 44 cm; 410 Grams
Date First Available : 2 March 2023
Manufacturer : STRABO BAGS AND ACCESSORIES LLP
ASIN : B0BX9SVT1D
Item model number : Cooper_Khaki
Country of Origin : India
Department : unisex-adult
Manufacturer : STRABO BAGS AND ACCESSORIES LLP
Item Weight : 410 g
Item Dimensions LxWxH : 14 x 32 x 44 Centimeters
Net Quantity : 1 Count"
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-51,3.8 out of 5 stars,1017,949,B09B2581S9,Safari Industries,"100% Polyester, High Quality, Durable and Water Resistant Fabric
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag; 1-year International Warranty against manufacturing defects
Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult","Product Dimensions : 16 x 32 x 46 cm; 350 Grams
Date First Available : 22 July 2021
Manufacturer : Safari Industries
ASIN : B09B2581S9
Item model number : SNEAK19CBGRE
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 350 g
Item Dimensions LxWxH : 16 x 32 x 46 Centimeters
Net Quantity : 1 Count
Generic Name : USB Backpack"
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-52,4.3 out of 5 stars,11811,550,B085S444JV,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty
Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
› See more product details","Wesley Milestone 2.0 Casual Waterproof Laptop Backpack Information
Technical Details
Brand Wesley
Manufacturer Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039
Model MII-007
Model Name Milestone 2.0
Product Dimensions 31.8 x 17.8 x 45.7 cm; 480 Grams
Item model number MII-007
Special Features Laptop Compartment, Waterproof, Lightweight, Ergonomic Design, Padded Strap
Mounting Hardware Backpack
Number of items 1
Batteries Required No
Material Polyester
Manufacturer Wesley
Country of Origin India
Item Weight 480 g
Additional Information
ASIN B085S444JV
Customer Reviews 4.3
11,825 ratings
4.3 out of 5 stars
Best Sellers Rank #384 in Electronics (See Top 100 in Electronics)
#6 in Laptop Backpacks
Date First Available 15 August 2020
Packer Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039
Item Dimensions LxWxH 31.8 x 17.8 x 45.7 Centimeters
Net Quantity 1 Piece
Generic Name Laptop Backpack
Feedback
Would you like to tell us about a lower price?"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-53,4.0 out of 5 stars,4894,679,B09VTDMRY7,FUR JADEN,"Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>
Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>","Product Dimensions : 30 x 18 x 42 cm; 700 Grams
Date First Available : 17 March 2022
Manufacturer : FUR JADEN
ASIN : B09VTDMRY7
Item model number : BM83
Country of Origin : India
Department : unisex-adult
Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Packer : Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Item Weight : 700 g
Item Dimensions LxWxH : 30 x 18 x 42 Centimeters
Net Quantity : 1.00 Unit
Generic Name : Anti Theft Laptop Backpack"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-54,4.4 out of 5 stars,2483,979,B07G4CYC74,Gear Merchandise PVT LTD,"Care Instructions: Hand Wash Only
Outer material: synthetic, color: tan; Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Age Range Description: Adult; Special Features: Back Padding; Pocket Description: Utility Pocket; Closure Type: Zipper
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .","Product Dimensions : 48 x 32 x 14 cm; 558 Grams
Date First Available : 2 August 2018
Manufacturer : Gear Merchandise PVT LTD
ASIN : B07G4CYC74
Item model number : LBPCLSLTH1901
Country of Origin : India
Department : unisex-adult
Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Item Weight : 558 g
Item Dimensions LxWxH : 48 x 32 x 14 Centimeters
Net Quantity : 1 count
Included Components : Laptop Backpack
Generic Name : Bag"
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-55,3.8 out of 5 stars,856,929,B07QN4KXWG,AirCase,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.
Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls
Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.
Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.
Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.","Product Dimensions : 29.01 x 46 x 19 cm; 580 Grams
Date First Available : 11 April 2019
Manufacturer : AirCase
ASIN : B07QN4KXWG
Item model number : C34-P
Country of Origin : India
Department : unisex-adult
Manufacturer : AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302
Packer : Istuff365, Godown No.H-3, Dharam Complex, Thane-421302
Item Weight : 580 g
Item Dimensions LxWxH : 29 x 46 x 19 Centimeters
Net Quantity : 1 Unit
Included Components : 1 Laptop Backpack
Generic Name : Laptop Backpack"
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-56,3.7 out of 5 stars,147,649,B0C23Z9W18,Half_Moon,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc","Product Dimensions : 45 x 33 x 25 cm; 450 Grams
Date First Available : 11 April 2023
Manufacturer : Half_Moon
ASIN : B0C23Z9W18
Item model number : Aztec35_MT
Country of Origin : India
Department : unisex-adult
Manufacturer : Half_Moon
Item Weight : 450 g
Item Dimensions LxWxH : 45 x 33 x 25 Centimeters
Net Quantity : 1"
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-57,3.8 out of 5 stars,893,599,B09B277CR5,Safari Industries,"Lightweight yet durable backpack/daypack for school use or everyday outings
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester","Product Dimensions : 16 x 32 x 46 cm; 350 Grams
Date First Available : 22 July 2021
Manufacturer : Safari Industries
ASIN : B09B277CR5
Item model number : SPARTAN19CBTEA
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 350 g
Item Dimensions LxWxH : 16 x 32 x 46 Centimeters
Net Quantity : 1 Count
Generic Name : Backpack"
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-58,4.0 out of 5 stars,8045,1049,B097RJ22Q3,Bagzone Lifestyle Pvt Ltd,"The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.
Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.
Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.
External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.
Manufacturer warranty - 2 years","Product Dimensions : 62.99 x 30 x 32 cm; 1.5 Kilograms
Date First Available : 23 June 2021
Manufacturer : Bagzone Lifestyle Pvt Ltd
ASIN : B097RJ22Q3
Item model number : DGGE035040M3
Country of Origin : India
Department : unisex-adult
Manufacturer : Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093
Packer : Bagzone Lifestyles pvt ltd
Importer : Bagzone Lifestyle pvt ltd, Bagzone Lifestyle Pvt Ltd
Item Weight : 1 kg 500 g
Item Dimensions LxWxH : 63 x 30 x 32 Centimeters
Net Quantity : 1 Count
Included Components : Duffle Bag
Generic Name : Duffle Bag"
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1690028109&sr=8-61,3.9 out of 5 stars,826,470,B0BL3SPN16,Northzone,"Care Instructions: Hand Wash Only
COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g
HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items
CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use
CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.
HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.","Product Dimensions : 50.8 x 30.48 x 25.4 cm; 499 Grams
Date First Available : 3 September 2022
Manufacturer : Northzone
ASIN : B0BL3SPN16
Item model number : DINY01
Country of Origin : India
Department : unisex-adult
Manufacturer : Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086
Packer : Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086
Importer : Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086
Item Weight : 499 g
Item Dimensions LxWxH : 50.8 x 30.5 x 25.4 Centimeters
Net Quantity : 1.00 count"
